ano_competencia,mes_competencia,municipio,sigla_uf,valor_parcela
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Major Isidoro,AL,180.0
2023,9,Major Isidoro,AL,180.0
2023,9,Maragogi,AL,180.0
2023,9,Maragogi,AL,180.0
2023,9,Maragogi,AL,180.0
2023,9,Maragogi,AL,180.0
2023,9,Maravilha,AL,180.0
2023,9,Maravilha,AL,180.0
2023,9,Marechal Deodoro,AL,180.0
2023,9,Marechal Deodoro,AL,180.0
2023,9,Marechal Deodoro,AL,180.0
2023,9,Marechal Deodoro,AL,180.0
2023,9,Marechal Deodoro,AL,180.0
2023,9,Maribondo,AL,180.0
2023,9,Mar Vermelho,AL,180.0
2023,9,Mar Vermelho,AL,180.0
2023,9,Mar Vermelho,AL,180.0
2023,9,Matriz de Camaragibe,AL,180.0
2023,9,Matriz de Camaragibe,AL,180.0
2023,9,Matriz de Camaragibe,AL,180.0
2023,9,Matriz de Camaragibe,AL,180.0
2023,9,Matriz de Camaragibe,AL,180.0
2023,9,Messias,AL,180.0
2023,9,Messias,AL,180.0
2023,9,Minador do Negrão,AL,180.0
2023,9,Monteirópolis,AL,180.0
2023,9,Monteirópolis,AL,180.0
2023,9,Murici,AL,180.0
2023,9,Murici,AL,180.0
2023,9,Novo Lino,AL,180.0
2023,9,Olho d'Água das Flores,AL,180.0
2023,9,Olho d'Água das Flores,AL,180.0
2023,9,Olho d'Água das Flores,AL,180.0
2023,9,Olho d'Água das Flores,AL,180.0
2023,9,Olho d'Água das Flores,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Ouro Branco,AL,180.0
2023,9,Palestina,AL,180.0
2023,9,Palestina,AL,180.0
2023,9,Palmeira dos Índios,AL,180.0
2023,9,Palmeira dos Índios,AL,180.0
2023,9,Palmeira dos Índios,AL,180.0
2023,9,Palmeira dos Índios,AL,180.0
2023,9,Palmeira dos Índios,AL,180.0
2023,9,Pão de Açúcar,AL,180.0
2023,9,Pão de Açúcar,AL,180.0
2023,9,Pão de Açúcar,AL,180.0
2023,9,Pão de Açúcar,AL,180.0
2023,9,Pão de Açúcar,AL,180.0
2023,9,Paripueira,AL,180.0
2023,9,Paripueira,AL,180.0
2023,9,Paripueira,AL,180.0
2023,9,Paripueira,AL,180.0
2023,9,Paripueira,AL,180.0
2023,9,Paulo Jacinto,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Penedo,AL,180.0
2023,9,Piaçabuçu,AL,180.0
2023,9,Piaçabuçu,AL,180.0
2023,9,Piaçabuçu,AL,180.0
2023,9,Piaçabuçu,AL,180.0
2023,9,Piaçabuçu,AL,180.0
2023,9,Piaçabuçu,AL,180.0
2023,9,Pilar,AL,180.0
2023,9,Pilar,AL,180.0
2023,9,Pilar,AL,180.0
2023,9,Pilar,AL,180.0
2023,9,Pilar,AL,180.0
2023,9,Piranhas,AL,180.0
2023,9,Piranhas,AL,180.0
2023,9,Piranhas,AL,180.0
2023,9,Piranhas,AL,180.0
2023,9,Piranhas,AL,180.0
2023,9,Poço das Trincheiras,AL,180.0
2023,9,Poço das Trincheiras,AL,180.0
2023,9,Poço das Trincheiras,AL,180.0
2023,9,Poço das Trincheiras,AL,180.0
2023,9,Poço das Trincheiras,AL,180.0
2023,9,Porto Calvo,AL,180.0
2023,9,Porto Real do Colégio,AL,180.0
2023,9,Quebrangulo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Rio Largo,AL,180.0
2023,9,Roteiro,AL,180.0
2023,9,Santa Luzia do Norte,AL,180.0
2023,9,Santa Luzia do Norte,AL,180.0
2023,9,Santana do Ipanema,AL,180.0
2023,9,Santana do Ipanema,AL,180.0
2023,9,Santana do Ipanema,AL,180.0
2023,9,Santana do Ipanema,AL,180.0
2023,9,Santana do Ipanema,AL,180.0
2023,9,Santana do Ipanema,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São José da Tapera,AL,180.0
2023,9,São Luís do Quitunde,AL,180.0
2023,9,São Luís do Quitunde,AL,180.0
2023,9,São Luís do Quitunde,AL,180.0
2023,9,São Luís do Quitunde,AL,180.0
2023,9,São Luís do Quitunde,AL,180.0
2023,9,São Luís do Quitunde,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Campos,AL,180.0
2023,9,São Miguel dos Milagres,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,São Sebastião,AL,180.0
2023,9,Satuba,AL,180.0
2023,9,Satuba,AL,180.0
2023,9,Satuba,AL,180.0
2023,9,Satuba,AL,180.0
2023,9,Senador Rui Palmeira,AL,180.0
2023,9,Tanque d'Arca,AL,180.0
2023,9,Taquarana,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Teotônio Vilela,AL,180.0
2023,9,Traipu,AL,180.0
2023,9,Traipu,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,União dos Palmares,AL,180.0
2023,9,Viçosa,AL,180.0
2023,9,Viçosa,AL,180.0
2023,9,Passo de Camaragibe,AL,185.0
2023,9,Arapiraca,AL,191.0
2023,9,Arapiraca,AL,191.0
2023,9,Capela,AL,191.0
2023,9,Maceió,AL,191.0
2023,9,Penedo,AL,191.0
2023,9,Pilar,AL,191.0
2023,9,São José da Tapera,AL,191.0
2023,9,São Miguel dos Campos,AL,193.0
2023,9,Água Branca,AL,205.0
2023,9,Água Branca,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Anadia,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Arapiraca,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
2023,9,Atalaia,AL,205.0
